Style,Category,ABV_min,ABV_max,ABV_avg,IBU_min,IBU_max,IBU_avg,SRM_min,SRM_max,SRM_avg,Glassware,Description
Baltic Porter,Porter,7.0,10.0,8.5,25,45,35.0,25,40,32.5,Pint Glass,"Porters of the late 1700's were quite strong compared to today's standards, easily surpassing 7 percent alcohol by volume. Some English brewers made a stronger, more robust version, to be shipped across the North Sea that they dubbed a Baltic Porter. In general, the style'ís dark brown color covered up cloudiness and the smoky, roasted brown malts and bitter tastes masked brewing imperfections. Historically, the addition of stale ale also lent a pleasant acidic flavor to the style, which made it quite popular. These issues were quite important given that most breweries at the time were getting away from pub brewing and opening up production facilities that could ship beer across the world."
English Porter,Porter,4.5,7.0,5.75,20,30,25.0,25,40,32.5,Pint Glass,"Porter is said to have been popular with transportation workers of Central London, hence the name. Most traditional British brewing documentation from the 1700'ís states that Porter was a blend of three different styles: an old ale (stale or soured), a new ale (brown or pale ale) and a weak one (mild ale), with various combinations of blending and staleness. The end result was also commonly known as ""Entire Butt"" or ""Three Threads"" and had a pleasing taste of neither new nor old. It was the first truly engineered beer, catering to the public's taste, playing a critical role in quenching the thirst of the UKí's Industrial Revolution and contributing to the rise of today's mega-breweries. Porter saw a comeback in the US during the homebrewing and micro-brewery revolution of the late 1970'ís and early 80'ís and modern-day Porters are typically brewed using a pale malt base with the addition of black malt, crystal, chocolate, or smoked brown malt. While uncommon, roasted malt is occasionally added too. Some brewers will also age their beers after inoculation with live bacteria to create an authentic taste of the past. Hop bitterness is moderate on the whole and the color ranges from brown to black. Overall, English Porters remain very complex and interesting beers."
Robust Porter,Porter,5.1,6.6,5.85,25,40,32.5,25,40,32.5,Pint Glass,"The Robust Porter features more bitter and roasted malt flavor than a brown porter, but not quite as much as a stout. Robust porters have a roast malt flavor, often reminiscent of cocoa, but no roast barley flavor. Their caramel and malty sweetness is in harmony with the sharp bitterness of black malt. Hop bitterness is evident. With US craft brewers doing so much experimentation in beer styles and ingredients, the lines between certain stouts and porters are often blurred. Yet many deliberate examples of these styles do exist. Diacetyl is acceptable at very low levels."
Smoke Porter,Porter,5.1,8.9,7.0,20,40,30.0,25,40,32.5,Pint Glass,"Typically the base for the Smoke Porter beer style is a Robust Porter that is given smoky depth thanks to wood-smoked malt. Traditionally, brewers will cite the specific wood used to smoke the malt, and different woods will lend different flavors to the finished product. Smoke flavors dissipate over time."
Chile Beer,Specialty Beer,4.5,6.0,5.25,0,0,0.0,3,12,7.5,Pint Glass,"Beers with the addition of hot pepper juice, oils, or actual peppers, most commonly jalapeño chiles. Hotness can range from a subtle spiciness to palate scorching. Most often, chiles are added to pale ales and light lagers, but the base beer style can vary."
Finnish Sahti,Specialty Beer,6.0,11.0,8.5,0,0,0.0,3,12,7.5,Pint Glass,"A farmhouse ale with roots in Finland, Sahti was first brewed by peasants in the 1500s. Turbid with tremendous body, a low-flocculating Finnish bakerís yeast creates a cloudy unfiltered beer with an abundance of sediment. Its color usually falls somewhere between pale yellow and deep brown. Traditionally unhopped, juniper twigs used during the brewing process create balance, imparting an unusual resiny character and serving as a preservative. Meanwhile, exposure to wild yeast and bacteria gives Sahti its signature tartness."
Fruit and Field Beer,Specialty Beer,2.5,13.3,7.9,5,45,25.0,3,12,7.5,Tulip,"Fruit beer is made with fruit, or fruit extracts that are added during any portion of the brewing process, providing obvious yet harmonious fruit qualities. This idea is expanded to “field beers” that utilize vegetables and herbs."
Herb and Spice Beer,Specialty Beer,2.5,12.0,7.25,5,40,22.5,5,40,22.5,Tulip,"An herb and spice beer is a lager or ale that contains flavors derived from flowers, roots, seeds or certain fruits or vegetables. Typically the hop character is low, allowing the added ingredient to shine through. The appearance, mouthfeel and aromas vary depending on the herb or spice used. This beer style encompasses innovative examples as well as traditional holiday and winter ales."
Japanese Happoshu,Specialty Beer,4.0,7.0,5.5,0,0,0.0,2,7,4.5,Pilsener Glass,"Happoshu is a sparkling low-malt beverage produced by Japanese beer companies. To be classified as Happoshu, the malt ratio must be less than 67 percent, or include an ingredient other than malt, hops, rice, corn, sorghum, potato, starch, or sugar. In Japan, the tax for Happoshu is much less than the tax for beer due to its lower malt content, making it cheaper than beer."
Japanese Rice Lager,Specialty Beer,3.6,6.5,5.05,6,18,12.0,2,7,4.5,Pilsener Glass,"Pale yellow in color with a soft hop nose, Japanese Rice Lagers often have a rounded, firm malty character with moderate bitterness and a trademark dry finish. Similar to American Adjunct Lagers, the beer's grist bill is cut by using large portions of rice, but not enough to be classified as Happoshu, a ""sparkling beverage"" with a malt content of less than two-thirds."
Low Alcohol Beer,Specialty Beer,0.1,1.0,0.55,10,20,15.0,3,12,7.5,Pint Glass,"Low Alcohol Beer is also commonly known as Non Alcohol (NA) beer, despite containing small amounts of alcohol. Low Alcohol Beers are generally subjected to one of two things: a controlled brewing process that results in a low alcohol content, or the alcohol is removed using a reverse-osmosis method which passes alcohol through a permeable membrane. They tend to be very light on aroma, body, and flavor."
Pumpkin Beer,Specialty Beer,2.3,12.0,7.15,5,70,37.5,5,40,22.5,Tulip,"Nothing says fall quite like pumpkins and beer, and American craft breweries have done a superb job of combining the two. It’s tough to find anything that hasn’t been “pumpkin spiced,” and beers are no different. Pumpkin flavored beers have caught the attention of craft beer and pumpkin lovers everywhere, partially because the flavors can be implemented in several beer styles. Whether you’re interested in trying pumpkin amber ales, IPAs or pumpkin stouts, there are plenty of options from American craft brewers for you to explore."
Russian Kvass,Specialty Beer,0.05,2.5,1.275,0,0,0.0,3,10,6.5,Pint Glass,"Kvass, Russian for ""leaven,"" is a 16th century beer-like beverage made with grains including wheat, rye, and barley or by using dark rye bread, and often has additions of sugars, birch sap, berries, and fruits fermented with a simple baker's yeast. It's low in alcohol and often flavored with herbs or fruits to knock the bitter edge out. A national drink for Russia, it's also found throughout Eastern Europe."
Rye Beer,Specialty Beer,4.0,7.0,5.5,10,80,45.0,9,15,12.0,Pint Glass,"In darker versions, malt flavor can optionally include low roasted malt characters (evident as cocoa/chocolate or caramel) and/or aromatic toffee-like, caramel, or biscuit-like characters. Low-level roasted malt astringency is acceptable when balanced with low to medium malt sweetness. Hop flavor is low to medium-high. Hop bitterness is low to medium. These beers can be made using either ale or lager yeast. The addition of rye to a beer can add a spicy or pumpernickel character to the flavor and finish. Color can also be enhanced and may become more red from the use of rye. The ingredient has come into vogue in recent years in everything from Stouts to lagers, but is especially popular with craft brewers in India Pale Ales. To be considered an example of the style, the grain bill should include sufficient rye such that rye character is evident in the beer."
Scottish Gruit / Ancient Herbed Ale,Specialty Beer,4.0,6.0,5.0,0,0,0.0,5,18,11.5,Tulip,"A historical style brewed in the same way beer was most likely made during the Middle Ages in Continental Europe, Gruit is bittered with herbs and spices rather than hops, most often sweet gale (Myrica gale), yarrow (Achillea millefolium), and wild rosemary (Ledum palustre). Other herbs, spices, and berries might be used to create interesting and pleasant aromas and flavors of green and herbal teas. Other ancient ales were made with ingredients like heather, seaweed, pine, spruce, etc."
Smoke Beer,Specialty Beer,4.5,7.0,5.75,20,30,25.0,5,40,22.5,Pint Glass,"When malt is kilned over an open flame, the smoke flavor becomes infused into the beer, leaving a taste that can vary from dense campfire, to slight wisps of smoke. Any style of beer can be smoked; the goal is to reach a balance between the style’s character and the smoky properties. Originating in Germany as Rauchbier, this style is open to interpretation by U.S. craft brewers. Classic base styles include German-style Marzen/Oktoberfest, German-style Bock, German-style Dunkel, Vienna-style Lager and more. Smoke flavors dissipate over time."
American Imperial Stout,Stout,7.0,12.0,9.5,50,80,65.0,30,40,35.0,Snifter,"The American-style Imperial Stout is the strongest in alcohol and body of the Stouts. Black in color, these beers typically have an extremely rich malty flavor and aroma with full, sweet malt character. Bitterness can come from roasted malts or hop additions."
American Stout,Stout,5.7,8.9,7.3,35,60,47.5,30,40,35.0,Pint Glass,"Strikingly bold and undeniably beautiful, the American Stout beer style blends generous amounts of dark malts with American hops to offer an adventurous experience that is unmatched by other styles of beer. Are you afraid of the dark? When it comes to American Stout, don’t be. Allow your senses to run wild with this deceivingly sophisticated take on a European staple. Like many other beer styles that have become prized by American brewers and beer lovers alike, American Stout is a distinct variant of a European Stout beer counterpart. True to style, American stouts showcase generous quantities of the American hops fans have come to expect, and much like other Stout beer types, American stout can be enjoyed year-round but is commonly considered a beer for the fall or winter months."
English Oatmeal Stout,Stout,3.8,6.1,4.95,20,40,30.0,30,40,35.0,Pint Glass,"The addition of oatmeal adds a smooth, rich body to the Oatmeal Stout. This beer style is dark brown to black in color. Roasted malt character is caramel-like and chocolate-like, and should be smooth and not bitter. Coffee-like roasted barley and malt aromas are prominent. This low- to medium-alcohol style is packed with darker malt flavors and a rich and oily body from oatmeal."
English Stout,Stout,4.0,7.0,5.5,20,40,30.0,30,40,35.0,Pint Glass,"Stouts are typically dark brown to pitch black in color. A common profile among Stouts, but not in all cases, is the use of roasted barley (unmalted barley that is kilned to the point of being charred) which lends a dry character to the beer as well as a huge roasted flavor that can range from burnt to coffee to chocolate. Traditional English Stout recipes rely on bitterness from the roasted grain to provide a dry finish and consequently tend to show very little hop character."
English Sweet / Milk Stout,Stout,3.2,6.3,4.75,15,25,20.0,30,40,35.0,Pint Glass,"Sweet Stout, also referred to as Cream Stout or Milk Stout, is black in color. Malt sweetness, chocolate, and caramel should dominate the flavor profile and contribute to the aroma. It also should have a low to medium-low roasted malt/barley-derived bitterness. Milk sugar (lactose) lends the style more body. This beer does use lactose sugar, so people with an intolerance should probably avoid this style."
Foreign / Export Stout,Stout,5.5,8.0,6.75,30,70,50.0,30,40,35.0,Pint Glass,"A special style of Stout that is brewed bigger than normal for a long journey, the more traditional Foreign / Export Stouts will be found in the tropical regions of the world. Higher in alcohol with a very pronounced roasted character. Expect moderate to high roasted grain and malt flavor with a coffee, chocolate, or lightly burnt grain character, although without a sharp bite. Moderately dry with low to medium esters and medium to high bitterness. Moderate to no hop flavor, can be earthy, herbal, or floral."
Irish Dry Stout,Stout,4.2,5.3,4.75,30,40,35.0,30,40,35.0,Pint Glass,"Dry Stout is black beer with a dry-roasted character thanks to the use of roasted barley. The emphasis on coffee-like roasted barley and a moderate degree of roasted malt aromas define much of the character. Hop bitterness is medium to medium high. This beer is often dispensed via nitrogen gas taps that lend a smooth, creamy body to the palate."
Russian Imperial Stout,Stout,8.0,12.0,10.0,50,90,70.0,30,40,35.0,Snifter,"Russian Imperial Stout, first brewed in England for Emperor Peter the Great of Russia, are higher in alcohol than traditional English Stouts. The best examples are full bodied, rich, and complex, and will often have flavors and aromas of dried fruit, coffee, and dark chocolate. Often dry, flavors of higher alcohol is quite evident. Hop character can vary from none, to balanced or aggressive."
American Barleywine,Strong Ale,8.5,15.0,11.75,60,100,80.0,11,18,14.5,Snifter,"Despite its name, a Barleywine (or Barley Wine) is very much a beer, albeit a strong and often intense beer. In fact, it's one of the strongest styles. Lively and fruity, sometimes sweet, sometimes bittersweet, but always alcoholic. A brew of this strength and complexity can be a challenge to the palate. Expect anything from an amber to a dark brown color, with aromas ranging from rich fruits to bold hops. The body is typically thick, alcohol will definitely be perceived, and flavors range from dominant dark fruits to palate smacking, resiny hops. English varieties are quite different from American efforts, which are often heavily hopped with high alpha oil American hops to create a more bitter brew. English versions tend to be more rounded and balanced with a slightly lower alcohol content, though this is not always the case. Most Barleywines can be cellared for years and will age much like wine."
American Imperian Red Ale,Strong Ale,8.0,10.6,9.3,55,85,70.0,10,17,13.5,Tulip,"The use of American hops in the American imperial red ale lends to the perception of medium hop bitterness, flavor and aroma. Coupled with a solid malt profile, this should be a beer with balance between hop bitterness and malt sweetness. Some breweries will choose to bottle-condition this style, leading to possible fruity esters and some haze in their appearance. This is another example of modern American brewers taking an established style and boosting the flavor. California brewers are credited with creating this innovative style."
American Strong Ale,Strong Ale,7.0,20.0,13.5,40,100,70.0,5,15,10.0,Snifter,"A catch-all style category for beers from 7 percent alcohol by volume and above. Some may even be as high as 20 percent ABV. As a result, color, aroma, and flavor characteristics will greatly vary; some have similarities to Barleywines and Old Ales. Barrel aging is certainly not out of the question."
American Wheatwine Ale,Strong Ale,8.5,12.2,10.35,45,85,65.0,5,15,10.0,Snifter,"Part of the “strong ale” category, the American-Style Wheat Wine Ale is not derived from grapes as its name might suggest. Made with at least 50 percent wheat malt, this full-bodied beer features bready and candy flavors, and finishes with a great deal of malty sweetness. These beers may be oak-aged and sometimes have small amounts of darker malts added."
Belgian Quadrupel ,Strong Ale,9.0,14.0,11.5,25,50,37.5,8,20,14.0,Goblet,"Inspired by the Trappist brewers of Belgium, a Quadrupel is a Belgian-style ale of great strength with even bolder flavor compared to its sister styles Dubbel and Tripel. Typically a dark creation that plays within the deep red and ruby brown end of the spectrum with garnet hues it is a full bodied beer with a rich, malty palate and spicy phenols than are usually kept to a moderate level. Sweet on the palate with a low bitterness yet well perceived alcohol, Quads are well suited to cellaring."
Belgian Strong Dark Ale,Strong Ale,7.0,12.0,9.5,25,50,37.5,8,20,14.0,Goblet,"On the same path as Belgian Dark Ale but obviously higher in alcohol with more character all around. The alcohol can be deceivingly hidden or very bold and in your face. Look for lots of complexity within a surprisingly delicate palate. Hop and malt character can vary, but most Strong Dark Ales are full of fruity and strong dark malt flavors. Phenols will range from minimal to high and most examples will be light on the hops. All in all, most of these beers are spicy and alcoholic."
Belgian Strong Pale Ale,Strong Ale,7.0,12.0,9.5,20,40,30.0,5,15,10.0,Goblet,"Like a Belgian Pale Ale, the strong versions will also be pale straw to deep golden in color. What sets them apart is a much higher alcohol content that can range from deliciously hidden to devastatingly present. Expect a complex and powerful ale, yet delicate with rounded flavors and a big, billowy, rocky, white head. Hop and malt character can vary, although most are fruity and quite hoppy. In general, hop flavor and aroma will be within the low range and artfully balanced. Duvel is the hallmark of this style, and many other breweries have tried to imitate Duvel Moortgat's quintessential example with similar references to the devil."
Belgian Tripel ,Strong Ale,8.0,12.0,10.0,20,40,30.0,4,9,6.5,Goblet,"The name ""Tripel"" actually stems from part of the brewing process, in which brewers use up to three times the amount of malt found in a standard Trappist table beer. Traditionally, Tripels are bright yellow to deep gold in color, a shade or two darker than the average Pilsener. The head should be big, dense, and creamy. Expect a complex aroma and flavor: spicy phenols, powdery yeast, and fruity esters with a sweet finish. Sweetness comes from both the pale malts and the higher alcohol. Bitterness is up there for a strong beer with such a light body, but it can be hard to perceive in well balanced versions. The lighter body comes from the use of Belgian candi sugar (up to 25 percent sucrose), which not only lightens the body, but also adds various alcoholic aromas and flavors. Small amounts of spices are sometimes added as well. Tripels are notoriously alcoholic, yet the best examples hide this quality quite deceivingly, making them beers for sipping."
English Barleywine,Strong Ale,8.5,12.2,10.35,40,60,50.0,14,22,18.0,Snifter,"The name ""British-style Barleywine"" [more commonly referred to as ""English""] represents a group of strong ales that rival the strength and complexity of some of the world’s most celebrated beverages. This brawny, malt-forward beer style is often one of the strongest beer styles on any given beer menu, and showcases a complex melange of toffee and fruit flavors counterbalanced by warming alcohol and sturdy hop bitterness. The Barleywine beer style is a sipper, enjoyed responsibly, stylishly—preferably in front of a fire in a comfy chair amongst a plethora of leather-bound books."
English Old Ale,Strong Ale,6.0,12.0,9.0,30,65,47.5,12,30,21.0,Snifter,"Old Ales, also referred to in the past as Stock Ales, are low attenuated beers with high levels of dextrins, creating a full malt body with plenty of character. Old Ales from centuries past were often transferred into vats to mature, hence the name. Commonly a rich, dark amber to a deep brown color, some examples are nearly black. Tamed aromatics. Although bittering levels can greatly vary, expect fruity, vinous, intense malt flavors and sharp alcohol characteristics. The often racy but mellow attitude of the beer may also include acidic notes, raisins, and black currants. Vintage varieties may have a low level of oxidation while stronger versions sometimes exhibit similarities to port wine. Brewers may also inoculate a portion of the batch with Brettanomyces lambicus and age it for an extended period of time to achieve an old-school acidic character."
English Strong Ale,Strong Ale,5.5,11.0,8.25,40,60,50.0,12,30,21.0,Snifter,"Bigger than a Pale Ale yet smaller than a Barleywine, the English Strong Ale is a rich and complex beer. Many examples are unfiltered and bottle conditioned. The color tends to land somewhere between amber and reddish copper. English Strong Ales usually end up as a bold mix of fruity, estery, and malty. Hop character can vary from mildly bitter to a full blown with a bold hop flavor and aroma. Similarly, the alcohol level varies and can be quite noticeable, with a hint of solvent possible."
Scotch Ale / Wee Heavy,Strong Ale,6.6,8.5,7.55,25,35,30.0,15,30,22.5,Tulip,"The Scotch Ale is overwhelmingly malty, with a rich and dominant sweet malt flavor and aroma. A caramel character is often part of the profile. Some examples feature a light smoked peat flavor. This style could be considered the Scottish version of an English-Style Barleywine. Overly smoked versions would be considered specialty examples."
American Dark Wheat Ale,Wheat Beer,4.0,8.0,6.0,10,35,22.5,5,15,10.0,Weizen Glass,"An Americanized version of a Dunkelweizen, these beers can range in color from garnet or deep amber to ruby brown. Often cloudy with long-lasting heads, this style tends to be light- to medium-bodied with a high level of carbonation. Hop character might be low or moderately high with some fruitiness from ale fermentation, though most examples use of a fairly neutral ale yeast, resulting in a clean fermentation with little to no diacetyl. Flavors of caramel and toasted malts might be present too, just don't expect German Weizen flavors and aromas of banana esters and clove-like phenols."
American Pale Wheat Ale,Wheat Beer,4.0,7.0,5.5,10,35,22.5,2,10,6.0,Weizen Glass,"An Americanized version of a Hefeweizen, these beers typically fall between pale straw and deep gold in color. Pale Wheat Ales are reminiscent of a Hefeweizen in appearance, unless filtered. Higher carbonation is proper as is a long-lasting head and a light to medium body. German Weizen flavors and aromas of banana esters and clove-like phenols won't be found. Most use a substantial percentage of wheat malt. Hop character could be low or fairly high, but most examples are moderate in bitterness. There may be some fruitiness from ale fermentation though most examples use a fairly neutral ale yeast, resulting in a clean fermentation with little to no diacetyl. Often served with a lemon wedge to either cut the wheat or yeast edge, many people either find this to be a flavorful snap or an insult that damages the beer's taste and head retention."
Belgian Witbier ,Wheat Beer,4.0,7.0,5.5,10,20,15.0,2,6,4.0,Tulip,"Belgian in origin, this unfiltered style of ale is pale and cloudy in appearance due to the high level of wheat, and sometimes oats, used in the mash. Always spiced, generally with coriander, orange peel, and occasionally other spices or herbs in the background. The crispness and slight tang comes from the wheat and the lively level of carbonation. This is one style that many US brewers have taken a liking to, and have done a very good job of staying to style. Sometimes served with a lemon, order one without a garnish if you truly want to enjoy the untainted subtleties of this style. Often referred to as ""white beers"" (witbieren) due to the cloudiness created by yeast in suspension."
Berliner Weisse,Wheat Beer,2.8,3.4,3.1,3,6,4.5,2,6,4.0,Goblet,"Low in alcohol, refreshingly tart, and often served with a flavored syrup like Woodruff or raspberry, the Berliner-style Weisse presents a harmony between yeast and lactic acid. These beers are very pale in color, and may be cloudy as they are often unfiltered. Hops are not a feature of this style, but these beers often do showcase esters. Traditional versions often showcase Brettanomyces yeast. Growing in popularity in the U.S., where many brewers are now adding traditional and exotic fruits to the recipe, resulting in flavorful finishes with striking, colorful hues. These beers are incredible when pairing. Bitterness, alcohol and residual sugar are very low, allowing the beer’s acidity, white bread and graham cracker malt flavors to shine. Carbonation is very high, adding to the refreshment factor this style delivers. Many examples of this style contain no hops and thus no bitterness at all."
German Dunkelweizen ,Wheat Beer,4.0,7.0,5.5,10,15,12.5,2,10,6.0,Weizen Glass,"Similar to a Hefeweizen, these southern German wheat beers are brewed as darker versions (Dunkel means ""dark"") with deliciously complex malts and a low balancing bitterness. Creamy and full-bodied, most Dunkelweizen are medium amber to amber-brown and appear slightly murky from the weizen yeast. Phenolic (clove) and fruity (banana, bubble gum) character will usually be present in the nose, and some examples may even taste like banana bread."
German Hefeweizen,Wheat Beer,4.0,7.0,5.5,10,15,12.5,2,10,6.0,Weizen Glass,"A south German style of wheat beer (weissbier) typically made with a ratio of 50 percent barley to 50 percent wheat. Sometimes the percentage of wheat is even higher. ""Hefe"" means ""with yeast,"" hence the beer's unfiltered and cloudy appearance. The particular ale yeast used produces unique esters and phenols of banana and cloves with an often dry and tart edge, some spiciness, and notes of bubblegum or apples. Hefeweizens are typified by little hop bitterness, and a moderate level of alcohol. Often served with a lemon wedge (popularized by Americans), to cut the wheat or yeasty edge, some may find this to be either a flavorful snap or an insult that can damage the beer's taste and head retention."
German Kristalweizen,Wheat Beer,4.0,7.0,5.5,10,15,12.5,2,10,6.0,Weizen Glass,"A filtered version of a Hefeweizen, showcasing a bright and clear body that ranges from pale straw to light amber in color. The overall character will be cleaner and softer on the palate, and the typical banana and phenols will be more subtle."
American Brett,Wild / Sour Beer,6.0,9.0,7.5,0,0,0.0,2,20,11.0,Tulip,"These unique beers vary in color and can take on the hues of added fruits or other ingredients. Horsey, goaty, leathery, phenolic, and some fruity acidic character derived from Brettanomyces organisms may be evident, but in balance with other components of an American Brett beer. Brett beer and sour beer are not synonymous."
American Wild Ale,Wild / Sour Beer,6.0,10.0,8.0,5,30,17.5,2,20,11.0,Tulip,"Sometimes Belgian influenced, American Wild Ales are beers that are introduced to ""wild"" yeast or bacteria, such as Brettanomyces (Brettanomyces Bruxellensis, Brettanomyces Lambicus or Brettanomyces Anomolus), Pediococcus, or Lactobacillus. This introduction may occur from oak barrels that have been previously inoculated, pitching into the beer, or gained from various ""sour mash"" techniques. Regardless of the method, these yeast and/or bacteria leave a mark that should be noticeable to strong, and often contribute a sour and/or funky, wild note. Mixed-fermentation examples will display a range of aromatics, rather than a single dominant character."
Belgian Faro,Wild / Sour Beer,2.0,5.0,3.5,0,10,5.0,2,20,11.0,Tulip,"Traditionally brewed in Belgium, Faro is a blended Lambic with the addition of candi sugar, resulting in a lighter, quite sweet, and more palatable beer. Widely available throughout the Senne Valley up until the early 20th century, Faro was often made from second and third runnings—which led to a beer with a lower alcohol content. It was commonly spiced with pepper, orange peel, and coriander, with spontaneous fermentation by the microbes found in the air. The end result was a light-bodied and gently flavored acidic beer that sometimes had hints of spice. Faro was usually sweetened before packaging or on-premise. Sometimes faro was a blend of aged lambic beer with freshly made low-alcohol Lambic or even a low-alcohol non-Lambic ale. Modern faro is usually stronger in alcohol compared with historical examples."
Belgian Fruit Lambic,Wild / Sour Beer,5.0,8.9,6.95,15,21,18.0,6,13,9.5,Tulip,"Often known as Cassis, Framboise, Kriek, or Peche, a fruit Lambic takes on the color and flavor of the fruit it is brewed with. It can be dry or sweet, clear or cloudy, depending on the ingredients. Notes of Brettanomyces yeast are often present at varied levels. Sourness is an important part of the flavor profile, though sweetness may compromise the intensity. These flavored lambic beers may be very dry or mildly sweet."
Belgian Gueuze,Wild / Sour Beer,5.0,8.0,6.5,0,10,5.0,6,13,9.5,Tulip,"A traditional Belgian blend of young and old Lambics, which are bottled after blending, then aged for two to three years to produce a dryer, fruitier, and more intense style of Lambic. There is no hop character, some are filtered and force carbonated if not pasteurized as well. More complex and carbonated than a lambic, the sourness isn’t necessarily higher, but it tends to have more of a well-developed wild character."
Belgian Lambic,Wild / Sour Beer,5.0,6.5,5.75,0,10,5.0,6,13,9.5,Tulip,"A spontaneously fermented and unblended ale that is indigenous to the Senne Valley of Belgium. A large portion of wheat results in crispness, although the flavor is dominated with a unique tartness from the wild yeast and bacteria that inoculate the brew by traveling through the air and through tainted barrels used during fermentation. Pale yellow to deep golden in color, the color tends to darken with age. Younger versions are often cloudy, while older ones are generally clear. The white-colored head generally has poor retention. Light bodied with little hop flavor or bitterness, Lambic's tartness resembles hard cider or white wine. Aging before consumption ensures that the tartness has mellowed."
Flanders Oud Bruin ,Wild / Sour Beer,4.0,8.0,6.0,20,25,22.5,12,25,18.5,Tulip,"Oud Bruins, not restricted to, but concentrated in Flanders, are light to medium-bodied and deep copper to brown in color. They are extremely varied, characterized by a slight vinegar or lactic sourness and spiciness to smooth and sweet. A fruity-estery character is apparent with no hop flavor or aroma. Low to medium bitterness. Very small quantities of diacetyl are acceptable. Roasted malt character in aroma and flavor is acceptable, at low levels. Oak-like or woody characteristics may be pleasantly integrated into the overall palate. Typically, old and new Brown Ales are blended, like Lambics."
Flanders Red Ale,Wild / Sour Beer,4.6,6.5,5.55,10,25,17.5,12,25,18.5,Tulip,"A sour, fruity, red wine-like Belgian-style ale with supportive malt flavors and fruit complexity with a dry finish and tannin characteristics. Typically light-bodied with reddish-brown colors, they are known for their distinct sharp, fruity, sour, and tart flavors which are created by special yeast strains. Very complex beers, they are produced under the age-old tradition of long-term cask aging in oak, and the blending of young and old beers."
Leipzig Gose,Wild / Sour Beer,4.4,5.4,4.9,10,15,12.5,3,9,6.0,Pilsener Glass,"Straw to medium amber, the contemporary Gose is cloudy from suspended yeast. A wide variety of herbal, spice, floral or fruity aromas other than found in traditional Leipzig-Style Gose are present, in harmony with other aromas. Salt (table salt) character is traditional in low amounts, but may vary from absent to present. Body is low to medium-low. Low to medium lactic acid character is evident in all examples as sharp, refreshing sourness."
